dataset,sub_suite_id,sampler,best_of_iter_AR,median_of_iter_AR
elevator,1,Fake Brisbane Backend,1.0,1.0
elevator,1,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,1,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,1,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,1,Sampling Noise Only,1.0,1.0
elevator,1,Statevector Simulator,1.0,1.0
elevator,10,Fake Brisbane Backend,1.0,1.0
elevator,10,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,10,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,10,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,10,Sampling Noise Only,1.0,1.0
elevator,10,Statevector Simulator,1.0,1.0
elevator,100,Fake Brisbane Backend,1.0,1.0
elevator,100,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,100,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,100,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,100,Sampling Noise Only,1.0,1.0
elevator,100,Statevector Simulator,1.0,1.0
elevator,101,Fake Brisbane Backend,1.0,1.0
elevator,101,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,101,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,101,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,101,Sampling Noise Only,1.0,1.0
elevator,101,Statevector Simulator,1.0,1.0
elevator,102,Fake Brisbane Backend,1.0,1.0
elevator,102,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,102,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,102,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,102,Sampling Noise Only,1.0,1.0
elevator,102,Statevector Simulator,1.0,1.0
elevator,103,Fake Brisbane Backend,1.0,1.0
elevator,103,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,103,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,103,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,103,Sampling Noise Only,1.0,1.0
elevator,103,Statevector Simulator,1.0,1.0
elevator,104,Fake Brisbane Backend,1.0,1.0
elevator,104,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,104,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,104,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,104,Sampling Noise Only,1.0,1.0
elevator,104,Statevector Simulator,1.0,1.0
elevator,105,Fake Brisbane Backend,1.0,1.0
elevator,105,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,105,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,105,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,105,Sampling Noise Only,1.0,1.0
elevator,105,Statevector Simulator,1.0,1.0
elevator,106,Fake Brisbane Backend,1.0,1.0
elevator,106,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,106,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,106,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
elevator,106,Sampling Noise Only,1.0,1.0
elevator,106,Statevector Simulator,1.0,1.0
elevator,107,Fake Brisbane Backend,1.0,1.0
elevator,107,Sampling Noise + 1% Depolarizing Error Probability,1.0,1.0
elevator,107,Sampling Noise + 2% Depolarizing Error Probability,1.0,1.0
elevator,107,Sampling Noise + 5% Depolarizing Error Probability,1.0,1.0
