dataset,sub_suite_id,sampler,iteration,objective,best_value,AR
gsdtsr,5,Statevector Simulator,0,-0.29955299381886735,-0.29955299381886735,1.0
gsdtsr,28,Statevector Simulator,0,-0.01741695897372942,-0.01741695897372942,1.0
gsdtsr,14,Statevector Simulator,0,-0.12030659110142422,-0.12030659110142422,1.0
gsdtsr,9,Statevector Simulator,0,-0.11555749457014147,-0.11555749457014147,1.0
gsdtsr,19,Statevector Simulator,0,-0.00010887600022391371,-0.00010887600022391371,1.0
gsdtsr,31,Statevector Simulator,0,-0.012435960192889783,-0.012435960192889783,1.0
gsdtsr,7,Statevector Simulator,0,-0.1475677777253452,-0.1475677777253452,1.0
gsdtsr,4,Statevector Simulator,0,-0.656092812137305,-0.656092812137305,1.0
gsdtsr,11,Statevector Simulator,0,-0.13024117019436954,-0.13024117019436954,1.0
gsdtsr,15,Statevector Simulator,0,-0.041068344340277285,-0.041068344340277285,1.0
gsdtsr,36,Statevector Simulator,0,-0.041420488844810324,-0.041420488844810324,1.0
gsdtsr,8,Statevector Simulator,0,-0.44070177407505484,-0.44070177407505484,1.0
gsdtsr,12,Statevector Simulator,0,-0.17462796800142674,-0.17462796800142674,1.0
gsdtsr,29,Statevector Simulator,0,-0.03744162613626126,-0.03744162613626126,1.0
gsdtsr,49,Statevector Simulator,0,-0.0467020289522204,-0.0467020289522204,1.0
gsdtsr,6,Statevector Simulator,0,-0.2133261913239968,-0.2133261913239968,1.0
gsdtsr,10,Statevector Simulator,0,-0.04210629899754348,-0.04210629899754348,1.0
gsdtsr,16,Statevector Simulator,0,-0.03158054818914993,-0.03158054818914993,1.0
gsdtsr,18,Statevector Simulator,0,-0.016750553178834483,-0.016750553178834483,1.0
gsdtsr,48,Statevector Simulator,0,-0.06035327100538322,-0.06035327100538322,1.0
gsdtsr,22,Statevector Simulator,0,-0.03439881495905195,-0.03439881495905195,1.0
gsdtsr,32,Statevector Simulator,0,-0.014646189075723938,-0.014646189075723938,1.0
gsdtsr,13,Statevector Simulator,0,-0.04658151587163578,-0.04658151587163578,1.0
gsdtsr,2,Statevector Simulator,0,-0.662189507605671,-0.662189507605671,1.0
gsdtsr,50,Statevector Simulator,0,-0.0708089770362782,-0.0708089770362782,1.0
gsdtsr,52,Statevector Simulator,0,-0.043857370587050776,-0.043857370587050776,1.0
gsdtsr,51,Statevector Simulator,0,-0.05844487677842856,-0.05844487677842856,1.0
gsdtsr,1,Statevector Simulator,0,-1.351060086211676,-1.351060086211676,1.0
gsdtsr,3,Statevector Simulator,0,-0.7991019336855277,-0.7991019336855277,1.0
gsdtsr,61,Statevector Simulator,0,-0.0018143894142178749,-0.0018143894142178749,1.0
gsdtsr,63,Statevector Simulator,0,-0.004444162394521974,-0.004444162394521974,1.0
gsdtsr,66,Statevector Simulator,0,-0.019865803069078234,-0.019865803069078234,1.0
gsdtsr,67,Statevector Simulator,0,-0.01513049115540388,-0.01513049115540388,1.0
gsdtsr,68,Statevector Simulator,0,-0.014052931497541683,-0.014052931497541683,1.0
gsdtsr,69,Statevector Simulator,0,-0.022414693341601708,-0.022414693341601708,1.0
gsdtsr,70,Statevector Simulator,0,-0.01950024528169402,-0.01950024528169402,1.0
gsdtsr,71,Statevector Simulator,0,-0.023184089218076832,-0.023184089218076832,1.0
gsdtsr,72,Statevector Simulator,0,-0.014076323074474779,-0.014076323074474779,1.0
gsdtsr,73,Statevector Simulator,0,-0.021036365128071874,-0.021036365128071874,1.0
gsdtsr,74,Statevector Simulator,0,-0.008457244425938346,-0.008457244425938346,1.0
gsdtsr,75,Statevector Simulator,0,-0.002780906305750447,-0.002780906305750447,1.0
gsdtsr,76,Statevector Simulator,0,-0.0012588330827412425,-0.0012588330827412425,1.0
gsdtsr,77,Statevector Simulator,0,-0.0035062532768891665,-0.0035062532768891665,1.0
gsdtsr,78,Statevector Simulator,0,-0.015090574812235089,-0.015090574812235089,1.0
gsdtsr,79,Statevector Simulator,0,-0.01192558329512684,-0.01192558329512684,1.0
gsdtsr,82,Statevector Simulator,0,-0.00663995670296188,-0.00663995670296188,1.0
gsdtsr,83,Statevector Simulator,0,-0.005289553944205584,-0.005289553944205584,1.0
gsdtsr,84,Statevector Simulator,0,-0.008515245235606057,-0.008515245235606057,1.0
gsdtsr,5,Statevector Simulator,1,-0.29955299381886735,-0.29955299381886735,1.0
gsdtsr,28,Statevector Simulator,1,-0.01741695897372942,-0.01741695897372942,1.0
gsdtsr,14,Statevector Simulator,1,-0.12030659110142422,-0.12030659110142422,1.0
gsdtsr,9,Statevector Simulator,1,-0.11555749457014147,-0.11555749457014147,1.0
gsdtsr,19,Statevector Simulator,1,-0.00010887600022391371,-0.00010887600022391371,1.0
gsdtsr,31,Statevector Simulator,1,-0.012435960192889783,-0.012435960192889783,1.0
gsdtsr,7,Statevector Simulator,1,-0.1475677777253452,-0.1475677777253452,1.0
gsdtsr,4,Statevector Simulator,1,-0.656092812137305,-0.656092812137305,1.0
gsdtsr,11,Statevector Simulator,1,-0.13024117019436954,-0.13024117019436954,1.0
gsdtsr,15,Statevector Simulator,1,-0.041068344340277285,-0.041068344340277285,1.0
gsdtsr,36,Statevector Simulator,1,-0.041420488844810324,-0.041420488844810324,1.0
gsdtsr,8,Statevector Simulator,1,-0.44070177407505484,-0.44070177407505484,1.0
gsdtsr,12,Statevector Simulator,1,-0.17462796800142674,-0.17462796800142674,1.0
gsdtsr,29,Statevector Simulator,1,-0.03744162613626126,-0.03744162613626126,1.0
gsdtsr,49,Statevector Simulator,1,-0.0467020289522204,-0.0467020289522204,1.0
gsdtsr,6,Statevector Simulator,1,-0.2133261913239968,-0.2133261913239968,1.0
gsdtsr,10,Statevector Simulator,1,-0.04210629899754348,-0.04210629899754348,1.0
gsdtsr,16,Statevector Simulator,1,-0.03158054818914993,-0.03158054818914993,1.0
gsdtsr,18,Statevector Simulator,1,-0.016750553178834483,-0.016750553178834483,1.0
gsdtsr,48,Statevector Simulator,1,-0.06035327100538322,-0.06035327100538322,1.0
gsdtsr,22,Statevector Simulator,1,-0.03439881495905195,-0.03439881495905195,1.0
gsdtsr,32,Statevector Simulator,1,-0.014646189075723938,-0.014646189075723938,1.0
gsdtsr,13,Statevector Simulator,1,-0.04658151587163578,-0.04658151587163578,1.0
gsdtsr,2,Statevector Simulator,1,-0.662189507605671,-0.662189507605671,1.0
gsdtsr,50,Statevector Simulator,1,-0.0708089770362782,-0.0708089770362782,1.0
gsdtsr,52,Statevector Simulator,1,-0.043857370587050776,-0.043857370587050776,1.0
gsdtsr,51,Statevector Simulator,1,-0.05844487677842856,-0.05844487677842856,1.0
gsdtsr,1,Statevector Simulator,1,-1.351060086211676,-1.351060086211676,1.0
gsdtsr,3,Statevector Simulator,1,-0.7991019336855277,-0.7991019336855277,1.0
gsdtsr,61,Statevector Simulator,1,-0.0018143894142178749,-0.0018143894142178749,1.0
gsdtsr,63,Statevector Simulator,1,-0.004444162394521974,-0.004444162394521974,1.0
gsdtsr,66,Statevector Simulator,1,-0.019865803069078234,-0.019865803069078234,1.0
gsdtsr,67,Statevector Simulator,1,-0.01513049115540388,-0.01513049115540388,1.0
gsdtsr,68,Statevector Simulator,1,-0.014052931497541683,-0.014052931497541683,1.0
gsdtsr,69,Statevector Simulator,1,-0.022414693341601708,-0.022414693341601708,1.0
gsdtsr,70,Statevector Simulator,1,-0.01950024528169402,-0.01950024528169402,1.0
gsdtsr,71,Statevector Simulator,1,-0.023184089218076832,-0.023184089218076832,1.0
gsdtsr,72,Statevector Simulator,1,-0.014076323074474779,-0.014076323074474779,1.0
gsdtsr,73,Statevector Simulator,1,-0.021036365128071874,-0.021036365128071874,1.0
gsdtsr,74,Statevector Simulator,1,-0.008457244425938346,-0.008457244425938346,1.0
gsdtsr,75,Statevector Simulator,1,-0.002780906305750447,-0.002780906305750447,1.0
gsdtsr,76,Statevector Simulator,1,-0.0012588330827412425,-0.0012588330827412425,1.0
gsdtsr,77,Statevector Simulator,1,-0.0035062532768891665,-0.0035062532768891665,1.0
gsdtsr,78,Statevector Simulator,1,-0.015090574812235089,-0.015090574812235089,1.0
gsdtsr,79,Statevector Simulator,1,-0.01192558329512684,-0.01192558329512684,1.0
gsdtsr,82,Statevector Simulator,1,-0.00663995670296188,-0.00663995670296188,1.0
gsdtsr,83,Statevector Simulator,1,-0.005289553944205584,-0.005289553944205584,1.0
gsdtsr,84,Statevector Simulator,1,-0.008515245235606057,-0.008515245235606057,1.0
gsdtsr,5,Statevector Simulator,2,-0.29955299381886735,-0.29955299381886735,1.0
gsdtsr,28,Statevector Simulator,2,-0.01741695897372942,-0.01741695897372942,1.0
gsdtsr,14,Statevector Simulator,2,-0.12030659110142422,-0.12030659110142422,1.0
gsdtsr,9,Statevector Simulator,2,-0.11555749457014147,-0.11555749457014147,1.0
gsdtsr,19,Statevector Simulator,2,-0.00010887600022391371,-0.00010887600022391371,1.0
gsdtsr,31,Statevector Simulator,2,-0.012435960192889783,-0.012435960192889783,1.0
gsdtsr,7,Statevector Simulator,2,-0.1475677777253452,-0.1475677777253452,1.0
gsdtsr,4,Statevector Simulator,2,-0.656092812137305,-0.656092812137305,1.0
gsdtsr,11,Statevector Simulator,2,-0.13024117019436954,-0.13024117019436954,1.0
gsdtsr,15,Statevector Simulator,2,-0.041068344340277285,-0.041068344340277285,1.0
gsdtsr,36,Statevector Simulator,2,-0.041420488844810324,-0.041420488844810324,1.0
gsdtsr,8,Statevector Simulator,2,-0.44070177407505484,-0.44070177407505484,1.0
gsdtsr,12,Statevector Simulator,2,-0.17462796800142674,-0.17462796800142674,1.0
gsdtsr,29,Statevector Simulator,2,-0.03744162613626126,-0.03744162613626126,1.0
gsdtsr,49,Statevector Simulator,2,-0.0467020289522204,-0.0467020289522204,1.0
gsdtsr,6,Statevector Simulator,2,-0.2133261913239968,-0.2133261913239968,1.0
gsdtsr,10,Statevector Simulator,2,-0.04210629899754348,-0.04210629899754348,1.0
gsdtsr,16,Statevector Simulator,2,-0.03158054818914993,-0.03158054818914993,1.0
gsdtsr,18,Statevector Simulator,2,-0.016750553178834483,-0.016750553178834483,1.0
gsdtsr,48,Statevector Simulator,2,-0.06035327100538322,-0.06035327100538322,1.0
gsdtsr,22,Statevector Simulator,2,-0.03439881495905195,-0.03439881495905195,1.0
gsdtsr,32,Statevector Simulator,2,-0.014646189075723938,-0.014646189075723938,1.0
gsdtsr,13,Statevector Simulator,2,-0.04658151587163578,-0.04658151587163578,1.0
