program,experiment,cluster_number,simulator,f_value,is_winner,win_score
flex,experiment_0,0,ideal,-35.1928149508474,True,1.0
flex,experiment_0,0,sampling_noise,6.99059229766393e-07,False,0.0
flex,experiment_0,0,fake_brisbane,-35.192814167224554,False,0.0
flex,experiment_0,0,depolarizing_01,8.569113139071914e-07,False,0.0
flex,experiment_0,0,depolarizing_02,-35.192814477291144,False,0.0
flex,experiment_0,0,depolarizing_05,-35.192813710581014,False,0.0
flex,experiment_0,1,ideal,-3.492649606426835,True,1.0
flex,experiment_0,1,sampling_noise,-3.492649606426835,True,1.0
flex,experiment_0,1,fake_brisbane,-3.492649606426835,True,1.0
flex,experiment_0,1,depolarizing_01,-3.492649606426835,True,1.0
flex,experiment_0,1,depolarizing_02,-3.492649606426835,True,1.0
flex,experiment_0,1,depolarizing_05,-3.492649606426835,True,1.0
flex,experiment_0,2,ideal,-2.4956041126105495,True,1.0
flex,experiment_0,2,sampling_noise,-2.4956041126105495,True,1.0
flex,experiment_0,2,fake_brisbane,-2.4956041126105495,True,1.0
flex,experiment_0,2,depolarizing_01,-2.4956041126105495,True,1.0
flex,experiment_0,2,depolarizing_02,-2.4956041126105495,True,1.0
flex,experiment_0,2,depolarizing_05,-2.4956041126105495,True,1.0
flex,experiment_0,3,ideal,0.0,True,1.0
flex,experiment_0,3,sampling_noise,0.0009127063880765301,False,0.0
flex,experiment_0,3,fake_brisbane,0.0,True,1.0
flex,experiment_0,3,depolarizing_01,0.0022498826679821005,False,0.0
flex,experiment_0,3,depolarizing_02,0.0009127063880765301,False,0.0
flex,experiment_0,3,depolarizing_05,0.0,True,1.0
flex,experiment_0,4,ideal,0.0,True,1.0
flex,experiment_0,4,sampling_noise,0.0006372826891230048,False,0.0
flex,experiment_0,4,fake_brisbane,0.00032578415136887357,False,0.0
flex,experiment_0,4,depolarizing_01,0.0003347535322927311,False,0.0
flex,experiment_0,4,depolarizing_02,0.0006776871850886156,False,0.0
flex,experiment_0,4,depolarizing_05,0.0010034713364574892,False,0.0
flex,experiment_0,5,ideal,-2.991925572742328,True,1.0
flex,experiment_0,5,sampling_noise,-2.991925572742328,True,1.0
flex,experiment_0,5,fake_brisbane,-2.991925572742328,True,1.0
flex,experiment_0,5,depolarizing_01,-2.991925572742328,True,1.0
flex,experiment_0,5,depolarizing_02,-2.991925572742328,True,1.0
flex,experiment_0,5,depolarizing_05,-2.991925572742328,True,1.0
flex,experiment_0,6,ideal,-2.995078160741341,True,1.0
flex,experiment_0,6,sampling_noise,-2.995078160741341,True,1.0
flex,experiment_0,6,fake_brisbane,-2.995078160741341,True,1.0
flex,experiment_0,6,depolarizing_01,-2.995078160741341,True,1.0
flex,experiment_0,6,depolarizing_02,-2.995078160741341,True,1.0
flex,experiment_0,6,depolarizing_05,-2.995078160741341,True,1.0
flex,experiment_0,7,ideal,-2.483715776047356,True,1.0
flex,experiment_0,7,sampling_noise,-2.483715776047356,True,1.0
flex,experiment_0,7,fake_brisbane,-2.483715776047356,True,1.0
flex,experiment_0,7,depolarizing_01,-2.483715776047356,True,1.0
flex,experiment_0,7,depolarizing_02,-2.483715776047356,True,1.0
flex,experiment_0,7,depolarizing_05,-2.483715776047356,True,1.0
flex,experiment_0,8,ideal,-3.474818234734505,True,1.0
flex,experiment_0,8,sampling_noise,-3.474818234734505,True,1.0
flex,experiment_0,8,fake_brisbane,-3.474818234734505,True,1.0
flex,experiment_0,8,depolarizing_01,-3.474818234734505,True,1.0
flex,experiment_0,8,depolarizing_02,-3.474818234734505,True,1.0
flex,experiment_0,8,depolarizing_05,-3.474818234734505,True,1.0
flex,experiment_0,9,ideal,-2.993201885768648,True,1.0
flex,experiment_0,9,sampling_noise,-2.993201885768648,True,1.0
flex,experiment_0,9,fake_brisbane,-2.993201885768648,True,1.0
flex,experiment_0,9,depolarizing_01,-2.993201885768648,True,1.0
flex,experiment_0,9,depolarizing_02,-2.993201885768648,True,1.0
flex,experiment_0,9,depolarizing_05,-2.993201885768648,True,1.0
flex,experiment_0,10,ideal,-3.478719379866812,True,1.0
flex,experiment_0,10,sampling_noise,-3.478719379866812,True,1.0
flex,experiment_0,10,fake_brisbane,-3.478719379866812,True,1.0
flex,experiment_0,10,depolarizing_01,-3.478719379866812,True,1.0
flex,experiment_0,10,depolarizing_02,-3.478719379866812,True,1.0
flex,experiment_0,10,depolarizing_05,-3.478719379866812,True,1.0
flex,experiment_0,11,ideal,0.0,True,1.0
flex,experiment_0,11,sampling_noise,0.00013790070822028823,False,0.0
flex,experiment_0,11,fake_brisbane,0.0,True,1.0
flex,experiment_0,11,depolarizing_01,0.0,True,1.0
flex,experiment_0,11,depolarizing_02,0.0,True,1.0
flex,experiment_0,11,depolarizing_05,0.00013790070822028823,False,0.0
flex,experiment_0,12,ideal,-2.493476260878757,True,1.0
flex,experiment_0,12,sampling_noise,-2.493476260878757,True,1.0
flex,experiment_0,12,fake_brisbane,-2.493476260878757,True,1.0
flex,experiment_0,12,depolarizing_01,-2.493476260878757,True,1.0
flex,experiment_0,12,depolarizing_02,-2.493476260878757,True,1.0
flex,experiment_0,12,depolarizing_05,-2.493476260878757,True,1.0
flex,experiment_0,13,ideal,-3.474901890701526,True,1.0
flex,experiment_0,13,sampling_noise,-3.474901890701526,True,1.0
flex,experiment_0,13,fake_brisbane,-3.474901890701526,True,1.0
flex,experiment_0,13,depolarizing_01,-3.474901890701526,True,1.0
flex,experiment_0,13,depolarizing_02,-3.474901890701526,True,1.0
flex,experiment_0,13,depolarizing_05,-3.474901890701526,True,1.0
flex,experiment_0,14,ideal,0.0,True,1.0
flex,experiment_0,14,sampling_noise,0.0,True,1.0
flex,experiment_0,14,fake_brisbane,0.01097424333180649,False,0.0
flex,experiment_0,14,depolarizing_01,0.00546522814559036,False,0.0
flex,experiment_0,14,depolarizing_02,0.0,True,1.0
flex,experiment_0,14,depolarizing_05,0.0,True,1.0
flex,experiment_0,15,ideal,0.0,True,1.0
flex,experiment_0,15,sampling_noise,0.00020547831295585073,False,0.0
flex,experiment_0,15,fake_brisbane,7.081357246044889e-05,False,0.0
flex,experiment_0,15,depolarizing_01,7.088122335365209e-05,False,0.0
flex,experiment_0,15,depolarizing_02,0.0001776174201049998,False,0.0
flex,experiment_0,15,depolarizing_05,0.00015396779535604808,False,0.0
flex,experiment_0,16,ideal,0.0,True,1.0
flex,experiment_0,16,sampling_noise,0.0,True,1.0
flex,experiment_0,16,fake_brisbane,0.0,True,1.0
flex,experiment_0,16,depolarizing_01,0.0,True,1.0
flex,experiment_0,16,depolarizing_02,0.0,True,1.0
flex,experiment_0,16,depolarizing_05,0.0,True,1.0
flex,experiment_0,17,ideal,0.0,True,1.0
flex,experiment_0,17,sampling_noise,0.0,True,1.0
flex,experiment_0,17,fake_brisbane,0.0,True,1.0
flex,experiment_0,17,depolarizing_01,0.0,True,1.0
flex,experiment_0,17,depolarizing_02,0.0001300193791621155,False,0.0
flex,experiment_0,17,depolarizing_05,0.0001300193791621155,False,0.0
flex,experiment_0,18,ideal,-0.4986239808322469,True,1.0
flex,experiment_0,18,sampling_noise,-0.4986239808322469,True,1.0
flex,experiment_0,18,fake_brisbane,-0.4986239808322469,True,1.0
flex,experiment_0,18,depolarizing_01,-0.4986239808322469,True,1.0
flex,experiment_0,18,depolarizing_02,-0.4986239808322469,True,1.0
flex,experiment_0,18,depolarizing_05,-0.4986239808322469,True,1.0
flex,experiment_0,19,ideal,-0.997247273880413,True,1.0
flex,experiment_0,19,sampling_noise,-0.997247273880413,True,1.0
flex,experiment_0,19,fake_brisbane,-0.997247273880413,True,1.0
