"Comparison","P_unadj","P_adj","A12"
"depolarizing_01 - depolarizing_02",0.1448,1,NA
"depolarizing_01 - depolarizing_05",0.5739,1,NA
"depolarizing_02 - depolarizing_05",0.3704,1,NA
"depolarizing_01 - fake_brisbane",0.6852,1,NA
"depolarizing_02 - fake_brisbane",0.2925,1,NA
"depolarizing_05 - fake_brisbane",0.8753,1,NA
"depolarizing_01 - ideal",0,2e-04,0
"depolarizing_02 - ideal",0.0035,0.052,NA
"depolarizing_05 - ideal",1e-04,0.002,0
"fake_brisbane - ideal",1e-04,0.0011,0
"depolarizing_01 - sampling_noise",0.8908,1,NA
"depolarizing_02 - sampling_noise",0.1106,1,NA
"depolarizing_05 - sampling_noise",0.4842,1,NA
"fake_brisbane - sampling_noise",0.5873,1,NA
"ideal - sampling_noise",0,1e-04,1
