"Comparison","P_unadj","P_adj","A12"
"depolarizing_01 - depolarizing_02",0.1386,1,NA
"depolarizing_01 - depolarizing_05",0.0095,0.1419,NA
"depolarizing_02 - depolarizing_05",0.2653,1,NA
"depolarizing_01 - fake_brisbane",0.3538,1,NA
"depolarizing_02 - fake_brisbane",0.5797,1,NA
"depolarizing_05 - fake_brisbane",0.0954,1,NA
"depolarizing_01 - ideal",0.0104,0.1558,NA
"depolarizing_02 - ideal",1e-04,8e-04,0
"depolarizing_05 - ideal",0,0,0
"fake_brisbane - ideal",5e-04,0.0072,0
"depolarizing_01 - sampling_noise",0.1335,1,NA
"depolarizing_02 - sampling_noise",0.9846,1,NA
"depolarizing_05 - sampling_noise",0.2737,1,NA
"fake_brisbane - sampling_noise",0.5666,1,NA
"ideal - sampling_noise",0,7e-04,1
