"Comparison","P_unadj","P_adj","A12"
"depolarizing_01 - depolarizing_02",0.4487,1,NA
"depolarizing_01 - depolarizing_05",0.3964,1,NA
"depolarizing_02 - depolarizing_05",0.1084,1,NA
"depolarizing_01 - fake_brisbane",0.9381,1,NA
"depolarizing_02 - fake_brisbane",0.4966,1,NA
"depolarizing_05 - fake_brisbane",0.3545,1,NA
"depolarizing_01 - ideal",1e-04,0.0018,0
"depolarizing_02 - ideal",0.002,0.0302,0
"depolarizing_05 - ideal",0,0,0
"fake_brisbane - ideal",2e-04,0.0025,0
"depolarizing_01 - sampling_noise",0.8561,1,NA
"depolarizing_02 - sampling_noise",0.3478,1,NA
"depolarizing_05 - sampling_noise",0.5049,1,NA
"fake_brisbane - sampling_noise",0.7957,1,NA
"ideal - sampling_noise",1e-04,8e-04,1
