program,simulator,mean_win_count,std_win_count,total_win_count
flex,depolarizing_01,98.0,0.9428090415820667,980.0
flex,depolarizing_02,99.1,1.4491376746189433,991.0
flex,depolarizing_05,98.4,0.8432740427115668,984.0
flex,fake_brisbane,98.3,1.418136492412178,983.0
flex,ideal,104.4,0.5163977794943224,1044.0
flex,sampling_noise,98.0,1.247219128924647,980.0
grep,depolarizing_01,98.4,1.5776212754932317,984.0
grep,depolarizing_02,96.3,2.8693785622209846,963.0
grep,depolarizing_05,95.2,2.4404006956964173,952.0
grep,fake_brisbane,98.0,4.422166387140534,980.0
grep,ideal,137.9,0.5676462121975484,1379.0
grep,sampling_noise,96.6,1.5776212754932326,966.0
gzip,depolarizing_01,48.0,2.0,480.0
gzip,depolarizing_02,48.6,1.7763883459298961,486.0
gzip,depolarizing_05,47.0,1.8856180831641267,470.0
gzip,fake_brisbane,47.9,1.9119507199599983,479.0
gzip,ideal,60.3,0.4830458915396481,603.0
gzip,sampling_noise,47.7,2.1108186931983397,477.0
sed,depolarizing_01,66.4,1.4298407059684806,664.0
sed,depolarizing_02,66.7,1.6363916944844823,667.0
sed,depolarizing_05,66.3,2.1628170930011112,663.0
sed,fake_brisbane,66.3,1.337493509849259,663.0
sed,ideal,75.8,0.42163702135578324,758.0
sed,sampling_noise,67.3,1.2516655570345727,673.0
