program,experiment,simulator,win_count
flex,experiment_0,ideal,105.0
flex,experiment_0,sampling_noise,97.0
flex,experiment_0,fake_brisbane,101.0
flex,experiment_0,depolarizing_01,98.0
flex,experiment_0,depolarizing_02,100.0
flex,experiment_0,depolarizing_05,99.0
flex,experiment_1,ideal,104.0
flex,experiment_1,sampling_noise,97.0
flex,experiment_1,fake_brisbane,99.0
flex,experiment_1,depolarizing_01,96.0
flex,experiment_1,depolarizing_02,97.0
flex,experiment_1,depolarizing_05,100.0
flex,experiment_2,ideal,105.0
flex,experiment_2,sampling_noise,100.0
flex,experiment_2,fake_brisbane,96.0
flex,experiment_2,depolarizing_01,98.0
flex,experiment_2,depolarizing_02,99.0
flex,experiment_2,depolarizing_05,98.0
flex,experiment_3,ideal,104.0
flex,experiment_3,sampling_noise,98.0
flex,experiment_3,fake_brisbane,99.0
flex,experiment_3,depolarizing_01,98.0
flex,experiment_3,depolarizing_02,98.0
flex,experiment_3,depolarizing_05,98.0
flex,experiment_4,ideal,104.0
flex,experiment_4,sampling_noise,98.0
flex,experiment_4,fake_brisbane,97.0
flex,experiment_4,depolarizing_01,98.0
flex,experiment_4,depolarizing_02,97.0
flex,experiment_4,depolarizing_05,99.0
flex,experiment_5,ideal,105.0
flex,experiment_5,sampling_noise,98.0
flex,experiment_5,fake_brisbane,97.0
flex,experiment_5,depolarizing_01,99.0
flex,experiment_5,depolarizing_02,100.0
flex,experiment_5,depolarizing_05,98.0
flex,experiment_6,ideal,104.0
flex,experiment_6,sampling_noise,96.0
flex,experiment_6,fake_brisbane,99.0
flex,experiment_6,depolarizing_01,98.0
flex,experiment_6,depolarizing_02,101.0
flex,experiment_6,depolarizing_05,98.0
flex,experiment_7,ideal,105.0
flex,experiment_7,sampling_noise,100.0
flex,experiment_7,fake_brisbane,98.0
flex,experiment_7,depolarizing_01,99.0
flex,experiment_7,depolarizing_02,99.0
flex,experiment_7,depolarizing_05,99.0
flex,experiment_8,ideal,104.0
flex,experiment_8,sampling_noise,98.0
flex,experiment_8,fake_brisbane,99.0
flex,experiment_8,depolarizing_01,97.0
flex,experiment_8,depolarizing_02,101.0
flex,experiment_8,depolarizing_05,97.0
flex,experiment_9,ideal,104.0
flex,experiment_9,sampling_noise,98.0
flex,experiment_9,fake_brisbane,98.0
flex,experiment_9,depolarizing_01,99.0
flex,experiment_9,depolarizing_02,99.0
flex,experiment_9,depolarizing_05,98.0
grep,experiment_0,ideal,137.0
grep,experiment_0,sampling_noise,98.0
grep,experiment_0,fake_brisbane,96.0
grep,experiment_0,depolarizing_01,97.0
grep,experiment_0,depolarizing_02,98.0
