dataset,sampler,n_subsuites,median_bestOf_AR,IQR_bestOf_AR
elevator,Statevector Simulator,881,1.0,0.0
elevator,Sampling Noise Only,881,1.0,0.0
elevator,Fake Brisbane Backend,881,1.0,0.0
elevator,Sampling Noise + 1% Depolarizing Error Probability,881,1.0,0.0
elevator,Sampling Noise + 2% Depolarizing Error Probability,881,1.0,0.0
elevator,Sampling Noise + 5% Depolarizing Error Probability,881,1.0,0.0
elevator2,Statevector Simulator,872,1.0,0.0
elevator2,Sampling Noise Only,872,1.0,0.0
elevator2,Fake Brisbane Backend,872,1.0,0.0
elevator2,Sampling Noise + 1% Depolarizing Error Probability,872,1.0,0.0
elevator2,Sampling Noise + 2% Depolarizing Error Probability,872,1.0,0.0
elevator2,Sampling Noise + 5% Depolarizing Error Probability,872,1.0,0.0
gsdtsr,Statevector Simulator,79,1.0,0.0
gsdtsr,Sampling Noise Only,79,1.0,0.001552953272424773
gsdtsr,Fake Brisbane Backend,79,1.0,0.08772134439389045
gsdtsr,Sampling Noise + 1% Depolarizing Error Probability,79,1.0,0.11539868417806032
gsdtsr,Sampling Noise + 2% Depolarizing Error Probability,79,1.0,0.08597811800660304
gsdtsr,Sampling Noise + 5% Depolarizing Error Probability,79,1.0,0.10721306137353204
iofrol,Statevector Simulator,443,1.0,0.0
iofrol,Sampling Noise Only,443,1.0,0.0
iofrol,Fake Brisbane Backend,443,1.0,0.0
iofrol,Sampling Noise + 1% Depolarizing Error Probability,443,1.0,0.0
iofrol,Sampling Noise + 2% Depolarizing Error Probability,443,1.0,0.0
iofrol,Sampling Noise + 5% Depolarizing Error Probability,443,1.0,0.0
paintcontrol,Statevector Simulator,24,1.0,0.0
paintcontrol,Sampling Noise Only,24,1.0,0.0
paintcontrol,Fake Brisbane Backend,24,1.0,0.0
paintcontrol,Sampling Noise + 1% Depolarizing Error Probability,24,1.0,0.0
paintcontrol,Sampling Noise + 2% Depolarizing Error Probability,24,1.0,0.0
paintcontrol,Sampling Noise + 5% Depolarizing Error Probability,24,1.0,0.0
